排名,Query编号,Query标题,总分,A.决策颠覆性,B.分析复杂性,C.行动导向性,D.风险收益规模,E.时效敏感性,F.专业壁垒,G.可验证性,Query内容
8,18,地方创新药械豁免政策挖掘,4.65,4,4,5,5,4,5,5,为我找出广州市关于'创新药械'豁免DRG/DIP支付的所有现行有效政策文件，并提取出申请流程、评审标准和有效期等关键信息点。
9,36,商业地产开发可行性分析,4.65,5,5,5,5,4,5,4,我司在某二线城市的核心地块开发一个商业综合体项目。请进行可行性分析：1) 测算当前建设成本（基于当地最新的建材信息价和人工成本）；2) 分析周边5公里内已规划、在建和已运营的竞品项目的业态组合、租金水平和空置率；3) 评估当地政府对该区域的交通规划（如新建地铁站）对项目未来价值的影响。最终给出项目全周期的预期投资回报率（IRR）范围。
14,6,地缘政治与财务影响深度尽调,4.6,4,5,4,5,4,4,5,分析'药明康德'及其主要子公司（如药明生物）自2022年以来被纳入美国'UVL'（未经核实清单）和'SDN'（特别指定国民清单）事件的全时间线。评估该事件对其全球营收结构（尤其是北美地区）、研发费用资本化政策、以及短期偿债能力（重点关注经营性现金流和流动比率）的实质性影响。请提供数据来源和计算过程。
13,10,顶级客户供应链认证与合规,4.6,5,5,5,5,4,4,4,我司是苹果公司的潜在供应商，计划申请导入其'iPhone'摄像头模组产线。请梳理苹果对此类供应商的核心认证标准（例如：ISO、QC、特定工艺标准），并重点分析其'供应商行为准则'在'劳工权益'和'环境责任'方面的最新审计要求。同时，评估为了满足这些标准所需进行的典型改造投入成本。
17,26,公共政策评估与舆情应对,4.55,4,5,5,5,4,4,4,某市计划推出'二手房租赁指导价'政策。请评估类似政策在深圳、成都等城市的实施效果，综合分析其对租金水平、租赁成交量、房东和租客权益的正面与负面影响。最终生成一份向社会公开的政策解读Q&A草案。
18,38,地缘政治危机下的实时物流决策,4.55,5,5,5,4,5,4,4,我司一批高价值货物需从上海运往德国。当前'红海危机'持续，请实时评估并对比三条路线的总成本（运费+保险）和时效：1) 绕行好望角的海运；2) 中欧班列铁路运输；3) 空运。并基于最新局势，预测未来两周内苏伊士运河航线恢复通行的可能性（给出概率%），以便我们做出最终决策。
15,24,专利壁垒分析与规避设计,4.55,5,5,5,5,3,5,4,我们正在研发新一代钠离子电池正极材料。请绘制该技术领域的专利图谱，识别出国际巨头（如丰田、宁德时代）的核心专利壁垒及其权利要求保护范围。并为我们提出三条可行的技术规避设计（Design Around）路线建议。
16,33,competitive 薪酬方案设计,4.55,4,5,5,5,4,4,4,为'AIGC算法工程师'这个岗位设计一个薪酬方案。方案需参考北京、上海、深圳同岗位的薪资水平（包括现金、股权）、以及从主流招聘网站和脉脉等社区爬取的舆情信息，确保我们的方案具备竞争力。
20,35,大宗商品采购综合决策模型,4.5,5,5,5,5,5,5,3,我司计划从巴西采购一批大豆。请构建一个综合决策模型，输入包括：1) 巴西主要产区的未来两周天气预报（降雨量对运输的影响）；2) 芝加哥期货交易所（CBOT）和大连商品交易所（DCE）的期货价格差；3) 当前中国对巴西大豆的进口关税和检疫政策；4) 近期是否有关于巴西供应商的食品安全负面报告。请输出最佳的采购时间窗口和采购量建议。
19,14,特定疗法报销精准计算,4.5,5,4,5,4,4,4,5,根据深圳市最新的'重疾险'补充医保政策，一位患有白血病的非既往症患者，使用目录内特效药'CAR-T疗法'的自付费用为50万元。请计算他最终能获得多少报销？并列出计算所依据的具体政策条款原文。
